parameter,channel,sqrts,lumi,mob,pob,observed,mexp,pexp,expected
S0,ss_WW_CMS,13,35.9,-7.7,7.7,,-7,7.2,
S1,ss_WW_CMS,13,35.9,-21.6,21.8,,-19.9,20.2,
M0,ss_WW_CMS,13,35.9,-6,5.9,,-5.6,5.5,
M1,ss_WW_CMS,13,35.9,-8.7,9.1,,-7.9,8.5,
M2,Wga_CMS,8,19.7,-26,26,,,,
M3,Wga_CMS,8,19.7,-43,44,,,,
M4,Wga_CMS,8,19.7,-40,40,,,,
M5,Wga_CMS,8,19.7,-65,65,,,,
M6,ss_WW_CMS,13,35.9,-11.9,11.8,,-11.1,11,
M7,ss_WW_CMS,13,35.9,-13.3,12.9,,-12.4,11.8,
T0,ss_WW_CMS,13,35.9,-0.62,0.65,,-0.58,0.61,
T1,ss_WW_CMS,13,35.9,-0.28,0.31,,-0.26,0.29,
T2,ss_WW_CMS,13,35.9,-0.89,1.02,,-0.8,0.95,
T5,Wga_CMS,8,19.7,-3.8,3.8,,,,
T6,Wga_CMS,8,19.7,-2.8,3,,,,
T7,Wga_CMS,8,19.7,-7.3,7.7,,,,
T8,ZZ_CMS,13,35.9,-0.84,0.84,,,,
T9,ZZ_CMS,13,35.9,-1.8,1.8,,,,
