,ssWW SMP17-004,WPWP,,WPWP,,WPWM,
,,,$M_{jj-AK4} < 2~$TeV,,$M_{jj-AK4} < 2~$TeV,,$M_{jj-AK4} < 2~$TeV
$F_{S0}$,"(-7.7,7.7)","(-42.77, 42.77)","(-43.66, 43.66)","(-56.20, 56.20)","(-56.51, 56.51)","(-171.68, 171.68)","(-143.90, 143.90)"
$F_{S1}$,"(-21.6,21.8)","(-152.87, 152.87)","(-167.18, 167.18)","(-206.40, 206.40)","(-197.77, 197.77)","(-69.58, 69.58)","(-61.23, 61.23)"
$F_{M0}$,"(-6.0,5.9)","(-16.01, 16.01)","(-16.06, 16.06)","(-17.82, 17.82)","(-18.65, 18.65)","(-1.23, 1.23)","(-1.43, 1.43)"
$F_{M1}$,"(8.7,9.1)","(-16.94, 16.94)","(-15.91, 15.91)","(-21.47, 21.47)","(-23.31, 23.31)","(-5.09, 5.09)","(-5.67, 5.67)"
$F_{M6}$,"(-11.9,11.8)","(-32.02, 32.02)","(-32.13, 32.13)","(-35.65, 35.65)","(-37.30, 37.30)","(-2.46, 2.46)","(-2.86, 2.86)"
$F_{M7}$,"(-13.3,12.9)","(-23.02, 23.02)","(-21.48, 21.48)","(-32.12, 32.12)","(-33.78, 33.78)","(-9.86, 9.86)","(-11.13, 11.13)"
$F_{T0}$,"(-0.62,0.65)","(-0.72, 0.72)","(-0.68, 0.68)","(-0.83, 0.83)","(-0.90, 0.90)","(-0.21, 0.21)","(-0.23, 0.23)"
$F_{T1}$,"(-0.28,0.31)","(-0.19, 0.19)","(-0.14, 0.14)","(-0.31, 0.31)","(-0.37, 0.37)","(-0.29, 0.29)","(-0.38, 0.38)"
$F_{T2}$,"(-0.89,1.02)","(-0.90, 0.90)","(-0.76, 0.76)","(-0.94, 0.94)","(-1.11, 1.11)","(-0.59, 0.59)","(-0.67, 0.67)"
