parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-89.72468324214717,89.72468324214717,"(-89.72, 89.72)",True
S1,-158.09599535030847,158.09599535030847,"(-158.10, 158.10)",True
M0,-13.659498128214913,13.659498128214913,"(-13.66, 13.66)",True
M1,-55.78135999538275,105.36493113316675,"(-55.78, 105.36)",False
M2,-24.00064996879571,24.00064996879571,"(-24.00, 24.00)",True
M3,-29.65894378832671,29.65894378832671,"(-29.66, 29.66)",True
M4,-2.881973105037071,2.881973105037071,"(-2.88, 2.88)",True
M5,-13.493108222447516,13.493108222447516,"(-13.49, 13.49)",True
M6,-27.318996256429827,27.318996256429827,"(-27.32, 27.32)",True
M7,-17.710702094379048,17.710702094379048,"(-17.71, 17.71)",True
T0,-0.7850443313272526,0.7850443313272522,"(-0.79, 0.79)",True
T1,-0.37870015250197453,0.37870015250197453,"(-0.38, 0.38)",True
T2,-1.1487610484597535,1.1487610484597535,"(-1.15, 1.15)",True
T5,-1.9785288503497171,1.9785288503497238,"(-1.98, 1.98)",True
T6,-1.4145741995995773,1.4145741995995773,"(-1.41, 1.41)",True
T7,-3.8979298640119056,3.897929864011909,"(-3.90, 3.90)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
