parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-20.52978190229554,20.52978190229554,"(-20.53, 20.53)",True
S1,-20.67189175104376,20.67189175104376,"(-20.67, 20.67)",True
M0,-0.40940332062406415,0.40940332062406415,"(-0.41, 0.41)",True
M1,-3.6994548706645674,3.6994548706645674,"(-3.70, 3.70)",True
M2,-0.6020979704069214,0.6020979704069214,"(-0.60, 0.60)",True
M3,-5.19131675440451,5.19131675440451,"(-5.19, 5.19)",True
M4,-1.429833516760894,1.429833516760894,"(-1.43, 1.43)",True
M5,-7.454302130100622,7.454302130100622,"(-7.45, 7.45)",True
M6,-0.8188066412481283,0.8188066412481283,"(-0.82, 0.82)",True
M7,-6.631081396629333,6.631081396629333,"(-6.63, 6.63)",True
T0,-0.1746475987767405,0.1746475987767391,"(-0.17, 0.17)",True
T1,-0.19629792668521856,0.19629792668521856,"(-0.20, 0.20)",True
T2,-0.4356590008293435,0.4356590008293435,"(-0.44, 0.44)",True
T5,-0.47586331997835873,0.47586331997835635,"(-0.48, 0.48)",True
T6,-1.0654862276365906,1.0654862276365906,"(-1.07, 1.07)",True
T7,-1.840207110702862,1.8402071107028548,"(-1.84, 1.84)",True
T8,-0.865982544579154,0.8659825445791531,"(-0.87, 0.87)",True
T9,-1.8431524014403105,1.843152401440309,"(-1.84, 1.84)",True
