parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-66.57352662890781,66.57352662890781,"(-66.57, 66.57)",True
S1,-229.62171742855213,229.62171742855213,"(-229.62, 229.62)",True
M0,-34.21573392666335,34.21573392666335,"(-34.22, 34.22)",True
M1,-41.36996387416447,41.36996387416447,"(-41.37, 41.37)",True
M2,0,0,"(0.00, 0.00)",False
M3,0,0,"(0.00, 0.00)",False
M4,0,0,"(0.00, 0.00)",False
M5,0,0,"(0.00, 0.00)",False
M6,-68.4314678533267,68.4314678533267,"(-68.43, 68.43)",True
M7,-60.75448227134455,60.75448227134455,"(-60.75, 60.75)",True
T0,-2.323294796586206,2.323294796586206,"(-2.32, 2.32)",True
T1,-0.9184632353464911,0.9184632353464908,"(-0.92, 0.92)",True
T2,-2.751668695058147,2.751668695058147,"(-2.75, 2.75)",True
T5,0,0,"(0.00, 0.00)",False
T6,0,0,"(0.00, 0.00)",False
T7,0,0,"(0.00, 0.00)",False
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
