parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-251.61364856815797,251.61364856815797,"(-251.61, 251.61)",True
S1,-336.07494002974073,336.07494002974073,"(-336.07, 336.07)",True
M0,-21.157960587793788,21.157960587793788,"(-21.16, 21.16)",True
M1,-45.29392226749369,45.29392226749369,"(-45.29, 45.29)",True
M2,-45.74241970562289,45.74241970562289,"(-45.74, 45.74)",True
M3,-86.95061587835625,86.95061587835625,"(-86.95, 86.95)",True
M4,-10.500323467564995,10.500323467564995,"(-10.50, 10.50)",True
M5,-29.841720568409663,29.841720568409663,"(-29.84, 29.84)",True
M6,-42.315921175587576,42.315921175587576,"(-42.32, 42.32)",True
M7,-46.96692074812273,46.96692074812273,"(-46.97, 46.97)",True
T0,-1.6303872539220983,1.6303872539220983,"(-1.63, 1.63)",True
T1,-0.906148107314078,0.9061481073140777,"(-0.91, 0.91)",True
T2,-2.6070486814640574,2.607048681464058,"(-2.61, 2.61)",True
T5,-4.195757545690955,4.195757545690947,"(-4.20, 4.20)",True
T6,-3.613777648037141,3.613777648037141,"(-3.61, 3.61)",True
T7,-9.184017953749692,9.184017953749686,"(-9.18, 9.18)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
