parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,0,0,"(0.00, 0.00)",False
S1,-848.0023237921373,848.0023237921373,"(-848.00, 848.00)",True
M0,-43.624944529509015,43.624944529509015,"(-43.62, 43.62)",True
M1,-98.15066464357217,98.15066464357217,"(-98.15, 98.15)",True
M2,-89.46044549139674,89.46044549139674,"(-89.46, 89.46)",True
M3,-229.0011780226526,229.0011780226526,"(-229.00, 229.00)",True
M4,-18.207797946998692,18.207797946998692,"(-18.21, 18.21)",True
M5,-45.49289308611396,45.49289308611396,"(-45.49, 45.49)",True
M6,-87.24988905901803,87.24988905901803,"(-87.25, 87.25)",True
M7,-77.03344753441877,77.03344753441877,"(-77.03, 77.03)",True
T0,-2.1725379446848088,2.1725379446848083,"(-2.17, 2.17)",True
T1,-1.2319642366654002,1.2319642366654007,"(-1.23, 1.23)",True
T2,-3.508986638264071,3.50898663826407,"(-3.51, 3.51)",True
T5,-5.845422621836332,5.845422621836324,"(-5.85, 5.85)",True
T6,-6.096657129536074,6.096657129536074,"(-6.10, 6.10)",True
T7,-14.207767185053005,14.207767185053,"(-14.21, 14.21)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
