parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-29.206186996157964,29.206186996157964,"(-29.21, 29.21)",True
S1,-101.64469089809249,101.64469089809249,"(-101.64, 101.64)",True
M0,-14.059368290502896,14.059368290502896,"(-14.06, 14.06)",True
M1,-16.895634571413183,16.895634571413183,"(-16.90, 16.90)",True
M2,0,0,"(0.00, 0.00)",False
M3,0,0,"(0.00, 0.00)",False
M4,0,0,"(0.00, 0.00)",False
M5,0,0,"(0.00, 0.00)",False
M6,-28.11873658100579,28.11873658100579,"(-28.12, 28.12)",True
M7,-24.819702327938973,24.819702327938973,"(-24.82, 24.82)",True
T0,-0.8547537925661959,0.8547537925661945,"(-0.85, 0.85)",True
T1,-0.32693109619315874,0.32693109619315874,"(-0.33, 0.33)",True
T2,-0.9842784898088406,0.9842784898088406,"(-0.98, 0.98)",True
T5,0,0,"(0.00, 0.00)",False
T6,0,0,"(0.00, 0.00)",False
T7,0,0,"(0.00, 0.00)",False
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
