parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,0,0,"(0.00, 0.00)",False
S1,-544.9162378768508,544.9162378768508,"(-544.92, 544.92)",True
M0,-24.609118087971634,24.609118087971634,"(-24.61, 24.61)",True
M1,-31.369994756046463,31.369994756046463,"(-31.37, 31.37)",True
M2,-67.69645563090602,67.69645563090602,"(-67.70, 67.70)",True
M3,-115.50817041314309,115.50817041314309,"(-115.51, 115.51)",True
M4,-6.276370473106878,6.276370473106878,"(-6.28, 6.28)",True
M5,-20.59478964765139,20.59478964765139,"(-20.59, 20.59)",True
M6,-49.21823617594327,49.21823617594327,"(-49.22, 49.22)",True
M7,-35.735397171814576,35.735397171814576,"(-35.74, 35.74)",True
T0,-1.3255522960785187,1.3255522960785187,"(-1.33, 1.33)",True
T1,-0.7126384632890979,0.7126384632890977,"(-0.71, 0.71)",True
T2,-2.0534977861152055,2.053497786115206,"(-2.05, 2.05)",True
T5,-2.94058537600101,2.940585376001007,"(-2.94, 2.94)",True
T6,-2.162953865418773,2.162953865418773,"(-2.16, 2.16)",True
T7,-5.802998528057531,5.802998528057523,"(-5.80, 5.80)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
