parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-61.03086267916342,61.03086267916342,"(-61.03, 61.03)",True
S1,-106.06066553376414,106.06066553376414,"(-106.06, 106.06)",True
M0,-12.530972295592086,12.530972295592086,"(-12.53, 12.53)",True
M1,-16.84714654623666,16.84714654623666,"(-16.85, 16.85)",True
M2,-19.932621972977316,19.932621972977316,"(-19.93, 19.93)",True
M3,-27.33439501370194,27.33439501370194,"(-27.33, 27.33)",True
M4,-4.691500879150675,4.691500879150675,"(-4.69, 4.69)",True
M5,-15.90959819756667,15.90959819756667,"(-15.91, 15.91)",True
M6,-25.061944591184172,25.061944591184172,"(-25.06, 25.06)",True
M7,-21.382891631233978,21.382891631233978,"(-21.38, 21.38)",True
T0,-1.0073499879513796,1.007349987951379,"(-1.01, 1.01)",True
T1,-0.5022498475112073,0.5022498475112073,"(-0.50, 0.50)",True
T2,-1.4642483624907943,1.4642483624907932,"(-1.46, 1.46)",True
T5,-2.4785996745335903,2.4785996745335876,"(-2.48, 2.48)",True
T6,-1.9809844237178826,1.9809844237178826,"(-1.98, 1.98)",True
T7,-4.900054325018251,4.900054325018244,"(-4.90, 4.90)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
