parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-108.03581381557282,108.03581381557282,"(-108.04, 108.04)",True
S1,-176.7839080635705,176.7839080635705,"(-176.78, 176.78)",True
M0,-14.550358193694073,14.550358193694073,"(-14.55, 14.55)",True
M1,-17.864416216672872,17.864416216672872,"(-17.86, 17.86)",True
M2,-29.347681054884372,29.347681054884372,"(-29.35, 29.35)",True
M3,-30.62352572104815,30.62352572104815,"(-30.62, 30.62)",True
M4,-3.2894251342244725,3.2894251342244725,"(-3.29, 3.29)",True
M5,-14.168560843189375,14.168560843189375,"(-14.17, 14.17)",True
M6,-29.100716387388147,29.100716387388147,"(-29.10, 29.10)",True
M7,-17.590766033697893,17.590766033697893,"(-17.59, 17.59)",True
T0,-0.7962453770107646,0.7962453770107635,"(-0.80, 0.80)",True
T1,-0.3947628962917355,0.3947628962917355,"(-0.39, 0.39)",True
T2,-1.1844164836945201,1.1844164836945201,"(-1.18, 1.18)",True
T5,-2.0418774762442076,2.041877476244204,"(-2.04, 2.04)",True
T6,-1.4672389700375799,1.4672389700375799,"(-1.47, 1.47)",True
T7,-4.025346702127234,4.0253467021272265,"(-4.03, 4.03)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
