parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-90.36975888472425,90.36975888472425,"(-90.37, 90.37)",True
S1,-136.83054386877274,136.83054386877274,"(-136.83, 136.83)",True
M0,-10.991487639062111,10.991487639062111,"(-10.99, 10.99)",True
M1,-16.638057671499258,16.638057671499258,"(-16.64, 16.64)",True
M2,-20.85199950314294,20.85199950314294,"(-20.85, 20.85)",True
M3,-30.62084362374592,30.62084362374592,"(-30.62, 30.62)",True
M4,-2.865680288487799,2.865680288487799,"(-2.87, 2.87)",True
M5,-13.499369802568875,13.499369802568875,"(-13.50, 13.50)",True
M6,-21.982975278124222,21.982975278124222,"(-21.98, 21.98)",True
M7,-17.800123800402773,17.800123800402773,"(-17.80, 17.80)",True
T0,-0.6482602855100149,0.6482602855100142,"(-0.65, 0.65)",True
T1,-0.3601250200179531,0.3601250200179531,"(-0.36, 0.36)",True
T2,-1.028779923144577,1.0287799231445764,"(-1.03, 1.03)",True
T5,-1.6207163542050866,1.620716354205083,"(-1.62, 1.62)",True
T6,-1.534743912801584,1.534743912801584,"(-1.53, 1.53)",True
T7,-3.7230417374256537,3.7230417374256466,"(-3.72, 3.72)",True
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
