parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-126.82544078293789,126.82544078293789,"(-126.83, 126.83)",True
S1,-105.02430601417814,105.02430601417814,"(-105.02, 105.02)",True
M0,-1.2483047735629909,1.2483047735629909,"(-1.25, 1.25)",True
M1,-7.337411228009408,7.337411228009408,"(-7.34, 7.34)",True
M2,-1.9574168114284252,1.9574168114284252,"(-1.96, 1.96)",True
M3,-11.165186409298647,11.165186409298647,"(-11.17, 11.17)",True
M4,-9.020851560678693,9.020851560678693,"(-9.02, 9.02)",True
M5,-27.9558778056642,27.9558778056642,"(-27.96, 27.96)",True
M6,-2.4966095471259817,2.4966095471259817,"(-2.50, 2.50)",True
M7,-14.668445868269469,14.668445868269469,"(-14.67, 14.67)",True
T0,-0.3903010132927789,0.390301013292778,"(-0.39, 0.39)",True
T1,-0.5304679309513481,0.5304679309513481,"(-0.53, 0.53)",True
T2,-1.0322062093227946,1.0322062093227944,"(-1.03, 1.03)",True
T5,-0.9507282719427882,0.9507282719427849,"(-0.95, 0.95)",True
T6,-1.7053093991532355,1.7053093991532355,"(-1.71, 1.71)",True
T7,-3.3357208450375597,3.335720845037552,"(-3.34, 3.34)",True
T8,-0.8946751669432051,0.8946751669432043,"(-0.89, 0.89)",True
T9,-1.9110831090659277,1.9110831090659275,"(-1.91, 1.91)",True
