parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-172.57904994127603,172.57904994127603,"(-172.58, 172.58)",True
S1,-154.30479856281897,154.30479856281897,"(-154.30, 154.30)",True
M0,-2.7603761153797666,2.7603761153797666,"(-2.76, 2.76)",True
M1,-11.06587023368217,11.06587023368217,"(-11.07, 11.07)",True
M2,-4.952674917196534,4.952674917196534,"(-4.95, 4.95)",True
M3,-17.842210001053218,17.842210001053218,"(-17.84, 17.84)",True
M4,-11.617246941301152,11.617246941301152,"(-11.62, 11.62)",True
M5,-37.67663774945518,37.67663774945518,"(-37.68, 37.68)",True
M6,-5.520752230759533,5.520752230759533,"(-5.52, 5.52)",True
M7,-21.86147634917025,21.86147634917025,"(-21.86, 21.86)",True
T0,-0.5830817809595674,0.5830817809595664,"(-0.58, 0.58)",True
T1,-0.7899722735399831,0.7899722735399829,"(-0.79, 0.79)",True
T2,-1.5260334730829233,1.526033473082922,"(-1.53, 1.53)",True
T5,-1.518209246308583,1.5182092463085792,"(-1.52, 1.52)",True
T6,-2.2239194349535696,2.2239194349535696,"(-2.22, 2.22)",True
T7,-4.727343335051836,4.727343335051828,"(-4.73, 4.73)",True
T8,-1.4156622346118835,1.4156622346118821,"(-1.42, 1.42)",True
T9,-3.0267550799324,3.0267550799324003,"(-3.03, 3.03)",True
