parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-82.09829677541767,82.09829677541767,"(-82.10, 82.10)",True
S1,-64.99729509908735,64.99729509908735,"(-65.00, 65.00)",True
M0,-0.8173834734782792,0.8173834734782792,"(-0.82, 0.82)",True
M1,-6.057741509841594,6.057741509841594,"(-6.06, 6.06)",True
M2,-1.2125805942236916,1.2125805942236916,"(-1.21, 1.21)",True
M3,-8.965869904389479,8.965869904389479,"(-8.97, 8.97)",True
M4,-7.230320176190853,7.230320176190853,"(-7.23, 7.23)",True
M5,-21.742232241419273,21.742232241419273,"(-21.74, 21.74)",True
M6,-1.6347669469565584,1.6347669469565584,"(-1.63, 1.63)",True
M7,-11.97002123093655,11.97002123093655,"(-11.97, 11.97)",True
T0,-0.31016348509536457,0.31016348509536373,"(-0.31, 0.31)",True
T1,-0.41575150341218153,0.41575150341218153,"(-0.42, 0.42)",True
T2,-0.8131137803044272,0.8131137803044267,"(-0.81, 0.81)",True
T5,-0.7728248874827532,0.7728248874827496,"(-0.77, 0.77)",True
T6,-1.3791591603021762,1.3791591603021762,"(-1.38, 1.38)",True
T7,-2.7188180112325644,2.7188180112325573,"(-2.72, 2.72)",True
T8,-0.6955563632829668,0.6955563632829663,"(-0.70, 0.70)",True
T9,-1.4893920401983405,1.489392040198341,"(-1.49, 1.49)",True
