parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-76.53090116478062,76.53090116478062,"(-76.53, 76.53)",True
S1,-63.398671572274445,63.398671572274445,"(-63.40, 63.40)",True
M0,-1.0066215546096862,1.0066215546096862,"(-1.01, 1.01)",True
M1,-6.610893626692807,6.610893626692807,"(-6.61, 6.61)",True
M2,-1.6015283111413785,1.6015283111413785,"(-1.60, 1.60)",True
M3,-10.22994866999208,10.22994866999208,"(-10.23, 10.23)",True
M4,-8.215349475678927,8.215349475678927,"(-8.22, 8.22)",True
M5,-25.00067809961916,25.00067809961916,"(-25.00, 25.00)",True
M6,-2.0132431092193723,2.0132431092193723,"(-2.01, 2.01)",True
M7,-13.115019481039717,13.115019481039717,"(-13.12, 13.12)",True
T0,-0.34963224687403166,0.34963224687403077,"(-0.35, 0.35)",True
T1,-0.4655253772064398,0.4655253772064398,"(-0.47, 0.47)",True
T2,-0.9092912595311257,0.909291259531125,"(-0.91, 0.91)",True
T5,-0.8563297403724803,0.8563297403724767,"(-0.86, 0.86)",True
T6,-1.5182667641389935,1.5182667641389935,"(-1.52, 1.52)",True
T7,-2.989205262441547,2.9892052624415393,"(-2.99, 2.99)",True
T8,-0.7991119674498902,0.7991119674498901,"(-0.80, 0.80)",True
T9,-1.6964454888631886,1.6964454888631877,"(-1.70, 1.70)",True
