parameter,limmin,limmax,limminmax,limitCalc_succeeded
S0,-26.676813173229732,26.676813173229732,"(-26.68, 26.68)",True
S1,-93.3020834537405,93.3020834537405,"(-93.30, 93.30)",True
M0,-12.984237320270525,12.984237320270525,"(-12.98, 12.98)",True
M1,-15.643107264814065,15.643107264814065,"(-15.64, 15.64)",True
M2,0,0,"(0.00, 0.00)",False
M3,0,0,"(0.00, 0.00)",False
M4,0,0,"(0.00, 0.00)",False
M5,0,0,"(0.00, 0.00)",False
M6,-25.96847464054105,25.96847464054105,"(-25.97, 25.97)",True
M7,-22.951744817729107,22.951744817729107,"(-22.95, 22.95)",True
T0,-0.8009965043728778,0.8009965043728765,"(-0.80, 0.80)",True
T1,-0.30782871761789515,0.30782871761789515,"(-0.31, 0.31)",True
T2,-0.9279432278894725,0.9279432278894716,"(-0.93, 0.93)",True
T5,0,0,"(0.00, 0.00)",False
T6,0,0,"(0.00, 0.00)",False
T7,0,0,"(0.00, 0.00)",False
T8,0,0,"(0.00, 0.00)",False
T9,0,0,"(0.00, 0.00)",False
